"Rank","Player Id","Player GSIS","Player College GSIS","Player Sportradar Id","Name","Team","#","POS","SNAPS","GAMES","SK","HU","TKL ALL","Runs"
"","123458","","349616","","David Ndukwe","HOUSTON","77","T","25","2","0","2","0","14"
"","123530","","362193","","Dwayne Allick","BOSTON COL","53","C","222","4","0","8","3","70"
"","123537","","362222","","Kevin Cline","BOSTON COL","79","T","633","10","4","14","5","232"
"","123561","","366856","","Gavin Gerhardt","CINCINNATI","53","C","590","10","0","4","7","277"
"","123577","","348759","","Jake Renfro","WISCONSIN","57","C","225","4","1","2","6","120"
"","123682","","386807","","Trevonte Sylvester","LOUISVILLE","70","T","377","8","0","7","10","171"
"","123732","","351367","","Patrick Barnett","UCF","50","G","33","2","0","0","0","21"
"","123761","","349113","","Paul Rubelt","UCF","69","T","516","9","1","9","6","214"
"","123886","","349196","","Chase Mitchell","VANDERBILT","50","G","578","10","0","11","5","240"
"","123915","","351584","","Damieon George Jr.","FLORIDA","70","G","529","10","2","8","4","225"
"","123963","","372755","","Jalen St. John","PURDUE","74","G","520","10","1","11","7","216"
"","124008","","350031","","Jeremiah Wright","AUBURN","77","G","637","10","5","14","7","274"
"","124011","","366887","","Austin Blaske","N CAROLINA","58","T","459","7","1","16","7","182"
"","124027","","385958","","Cameron Kinnie","UCF","55","G","415","10","1","2","5","173"
"","124029","","361945","","Chad Lindberg","N CAROLINA","69","C","443","8","0","4","6","176"
"","124053","","384841","","Deondre Buford","CINCINNATI","56","T","512","10","0","15","11","237"
"","124091","","350143","","Marcus Dumervil","ARKANSAS","74","T","20","2","0","0","1","9"
"","124098","","350145","","Xavier Hill","COLORADO","71","G","579","9","3","8","10","235"
"","124141","","367668","","Cedric Melton","HOUSTON","76","T","84","4","1","2","2","58"
"","124335","","350947","","Aki Ogunbiyi","COLORADO","74","G","8","2","0","0","0","5"
"","124347","","351333","","Jason Brooks Jr.","HOUSTON","73","G","412","9","0","6","9","215"
"","124371","","349580","","Joshua Braun","KENTUCKY","75","G","697","10","3","6","12","328"
"","124386","","362948","","Richie Leonard IV","FLORIDA ST","67","G","597","10","0","10","9","287"
