"Rank","Player Id","Player GSIS","Player College GSIS","Player Sportradar Id","Name","Team","#","POS","SNAPS","GAMES","TOT TKL","TFL","MT","INT","CTGT"
"","157942","","386549","","Devin Grant","SYRACUSE","23","S","291","7","30","2","12","0","22"
"","157977","","393557","","Aveon Grose","MICH STATE","30","S","27","4","3","0","0","0","0"
"","158074","","395307","","Robert Spears-Jennings","OKLAHOMA","03","S","405","9","47","1","7","1","19"
"","158101","","395552","","Peyton Williams","S CAROLINA","31","S","427","9","38","0","4","2","15"
"","158116","","386561","","DQ Smith","S CAROLINA","01","S","511","8","53","1","5","1","16"
"","158197","","385627","","Matthew Bailey","ILLINOIS","07","S","499","9","56","2","5","0","20"
"","158206","","426516","","Grayson Griffin","ILLINOIS","35","S","1","1","0","0","0","0","0"
"","158276","","387224","","Ahmaad Moses","SMU","03","S","659","9","57","4","9","5","32"
"","158305","","407299","","Cornell Perry","SYRACUSE","19","S","336","9","33","1","11","0","16"
"","158389","","386373","","Jaden Mangham","MICHIGAN","03","S","244","9","17","1","5","0","4"
