"Rank","Player Id","Player GSIS","Player College GSIS","Player Sportradar Id","Name","Team","#","POS","SNAPS","GAMES","REC","EXPL","YAC","CTC"
"","144464","","360401","","Titus Mokiao-Atimalala","UCLA","02","WR","324","8","20","7","80","1"
"","144513","","368544","","Josh Cameron","BAYLOR","34","WR","658","9","49","16","235","10"
"","144563","","406655","","Mack Moeller","KANSAS","80","WR","10","1","1","0","1","0"
"","144596","","391407","","Xavier Loyd","MISSOURI","06","WR","92","8","1","1","6","0"
"","144623","","362059","","Jalil Farooq","MARYLAND","01","WR","318","8","35","8","272","1"
"","144761","","373379","","Jerand Bradley","KANSAS ST","05","WR","173","7","13","3","67","0"
"","144829","","359936","","Donaven McCulley","MICHIGAN","01","WR","476","9","26","9","110","6"
"","144916","","361842","","Andrel Anthony","DUKE","01","WR","266","8","22","5","74","5"
"","144921","","371988","","Peyton O'Leary","MICHIGAN","81","WR","4","1","0","0","0","0"
"","144969","","361552","","Le'Meke Brockington","MINNESOTA","00","WR","407","9","37","9","125","5"
"","144973","","359803","","Quentin Redding","MINNESOTA","81","WR","6","1","0","0","0","0"
"","144978","","386168","","Dino Kaliakmanis","RUTGERS","83","WR","15","2","1","0","0","1"
"","145033","","361943","","Jordan Mosley","MISS STATE","04","WR","283","9","8","4","52","0"
"","145036","","361932","","Jacob Gill","IOWA","05","WR","272","8","15","3","31","4"
"","145054","","366310","","Jayden Ballard","WISCONSIN","04","WR","168","8","7","3","61","1"
"","145089","","386132","","Liam Clifford","PENN STATE","02","WR","95","8","3","0","0","2"
"","145090","","368489","","Harrison Wallace III","OLE MISS","02","WR","481","9","30","13","194","5"
"","145107","","366765","","Deion Burks","OKLAHOMA","04","WR","563","9","46","10","215","9"
"","145160","","362942","","Markus Allen","MISS STATE","07","WR","37","4","1","0","0","1"
"","145189","","385714","","Tony Johnson","MIAMI FL","17","WR","109","8","7","5","87","1"
"","145196","","384890","","Jahmal Edrine","VIRGINIA","07","WR","487","9","34","11","113","5"
"","145224","","384514","","Dean Patterson","GA TECH","11","WR","219","9","7","2","139","1"
